cLambda FITC,CD117 PE,CD20 PE-CF594,CD138 PC5.5,CD27 PC7,cKappa APC,CD45 A700,CD38 A750,CD56 BV421,CD19 BV510
385.422882,39.9542046,191.095291,2226.67212,25.4829674,1.0,1.0,1684.85486,2.24679017,1.39486206
777.365051,39.5964508,69.7830582,250.286545,1.0,67.3170395,1.0,2109.69043,6.37804365,11.97085
1472.20654,51.3969688,4.82607126,2525.479,361.904297,1.0,17.9434624,1715.43787,9.30572033,12.2982626
685.389587,5.00286484,913.981689,67.3170395,147.220657,1.0,1.0,3586.6377,8.3536253,14.2018118
330.773926,40.6794434,155.383987,1263.46289,29.6931477,45.3158379,46.9758873,1369.99426,2.76316142,3.27812123
72.9930038,53.279789,116.521545,76.3506088,21.8697472,1.0,1.0,1154.78198,7.56669521,5.57306051
243.62326,23.7137375,1394.86206,52.3299103,50.4806557,1.0,1.0,1124.0387,9.64661598,51.8613434
220.673401,116.521545,710.497437,128.639694,112.40387,1.0,29.1637764,2763.16138,5.98885441,1.0
1654.81714,26.4164829,32.7812119,513.969666,53.7611732,1.0,21.6739216,2246.79004,8.50525856,16.253149
3367.78027,1.0,14.3301258,71.0497437,25.7132072,1.0,1.0,1945.64001,5.09367514,3.02321291
64.3566971,34.9115181,144.595993,582.941528,36.5174141,1.0,2.57132077,3162.27759,7.84388542,1.0
1018.15173,45.3158379,30.2321301,99.1045837,153.992645,62.6433525,8.2046957,632.093384,7.169168,11.5478201
710.497437,33.677803,60.4296379,1124.0387,58.8208427,257.13208,7.56669521,3819.71753,1.0,6.26433516
632.093384,25.7132072,964.661621,1113.97388,1.0,24.1441822,38.1971741,1186.36621,6.15265417,15.1247253
445.079407,19.9885483,19.1095295,1009.03503,19.4563999,1.0,38.8905182,1746.57605,1.0,31.3396225
2864.38403,28.3873596,38.1971741,239.279922,22.0673409,36.8473511,8.2046957,1113.97388,4.95806837,31.9084892
889.649109,32.4876823,704.135498,378.551514,36.8473511,1.0,5.47370338,3491.15186,11.4444189,6.91582108
165.481705,31.9084892,82.0469589,1240.93774,79.8626556,1.0,1.27487838,2916.37769,7.56669521,5.67422104
310.590027,11.5478201,31.622776,2480.45435,1.0,1.0,99.1045837,2689.59888,7.36525011,9.30572033
214.798508,11.97085,982.171875,49.5806808,28.9026394,1.0,1.0,4869.67529,8.27882576,3.99542046
716.916809,32.196785,41.4178467,643.566956,22.2667198,58.2941551,8.81683064,2109.69043,2.32909656,10.2735081
1229.82617,26.4164829,18.7688427,465.552582,38.1971741,1.0,1.0,2641.64844,5.82941532,7.04135513
2458.24414,46.1383972,8.97687149,1445.95996,10.6498566,1.0,1.0,2458.24414,4.06794453,1.0
