cLambda FITC,CD117 PE,CD20 PE-CF594,CD138 PC5.5,CD27 PC7,cKappa APC,CD45 A700,CD38 A750,CD56 BV421,CD19 BV510
9821.71777,557.305969,1.0,2738.41992,1.0,25.2547894,1.0,5048.06396,1.0,62.0824471
9821.71777,2090.80054,1.0,3959.64551,1.0,8.58210468,1.0,2436.23291,1.0,203.513718
9821.71777,1154.78186,1.0,2226.67212,1.0,1.0,1.0,3651.73999,1.0,90.5797653
9821.71777,4179.20508,1.0,1610.7616,6.61169052,133.352158,1.58204472,4179.20508,1.0,410.469849
4869.67627,15.3992672,27.3841972,3819.71655,42.1696548,1.0,1.0,3854.22998,1.0,21.8697453
6552.49072,1.0,45.3158379,1553.83997,1.0,59.3522987,1.0,1369.99426,1.0,18.2691669
4655.52686,16.6976871,52.8027229,4216.9668,1.0,1.0,1.0,4491.00586,1.0,3.02321291
9821.71777,850.525879,26.4164848,2128.75171,1.0,31.0590038,1.0,1382.37231,1.0,75.6669617
9821.71777,582.941467,1.0,1094.11401,1.0,44.91008,1.0,1539.92651,1.0,48.2607155
8278.82813,1.0,358.663727,1794.3468,1.0,33.0773964,1.0,3162.27734,1.0,5.37611723
129.802002,29.4272766,552.315979,1345.57019,1.0,8.97687054,1.0,2072.07886,2.39279914,9.73377323
7299.29883,1.0,749.894226,593.52301,1.0,11.240386,2.91637754,2226.67212,1.0,1.0
9821.71777,1654.81763,1.0,1893.84204,1.0,36.8473473,1.0,889.649231,1.0,164.0
9821.71777,1229.82642,1.0,1298.02002,1.0,93.0572205,1.0,5674.22412,1.0,145.902451
9821.71777,1094.11401,1.0,1165.21545,12.5214977,30.7808952,1.0,2838.73608,1.0,155.383987
9821.71777,2665.51636,1.0,691.582153,1.0,125.214951,71.6916733,2942.72705,1.0,278.812744
9821.71777,1459.02466,1.0,1860.07898,1.0,1.0,1.0,3219.67871,1.0,138.237228
9821.71777,1730.93677,119.708534,1715.43835,241.441818,1.0,913.981689,2738.41992,1.0,174.657608
9821.71777,661.169006,1.0,1498.92981,1.0,15.9633865,1.0,1369.99426,1.0,73.6525192
2594.55249,2.45824409,49.1367302,1928.21899,1.0,135.77269,1910.95313,2890.26465,1.0,17.7827969
9821.71777,820.469727,14.0746469,1810.55823,1.0,64.3567047,1.0,4179.20508,1.0,76.3506241
9821.71777,1074.60779,1.0,2287.57397,1.0,92.2239609,1.0,4104.70068,1.0,132.158096
9222.40137,1.0,74.3179474,1394.8623,1.0,56.2341309,1.0,1684.85498,1.0,1.0
9821.71777,8.81683064,1.0,1582.04517,1.0,27.138998,1.0,1928.21899,1.0,7.169168
3248.76733,24.3623276,12.1881418,2617.99463,1.0,44.91008,1.0,3619.04321,1.0,17.0007782
9821.71777,827.882813,1.0,2617.99463,1.0,42.1696548,1.0,2738.41992,1.0,101.815201
3278.12207,103.663292,41.0469856,1640.0,15.9633865,25.9455299,189.384201,1980.95691,1.0,16.253149
9560.23926,1.0,6.55248833,691.582153,1.0,38.1971817,38.5422897,1407.46509,1.0,13.0974741
77.736496,1.0,835.362427,1229.82642,21.8697453,1.0,21.4798508,3367.78076,6.04296398,17.6235657
9821.71777,1654.81763,1.0,3651.73999,1.0,19.4564018,1.0,4031.52075,1.0,166.976837
9821.71777,523.299133,1.0,2308.24146,1.0,2.83873606,1.0,3428.9126,1.0,62.0824471
9821.71777,196.321884,156.787903,552.315979,21.4798508,13.2158089,1485.50806,1103.99951,1.0,32.196785
9222.40137,52.3299141,33.6778069,858.21051,1.0,5.62341356,1.0,1730.93677,1.0,2.01691461
9821.71777,2916.37866,1.0,1893.84204,100.903519,1.0,1.0,3889.05176,1.0,257.132141
3718.02637,1.0,302.321381,1321.58093,1.0,132.158096,67.3170471,2502.86548,1.0,13.455698
2890.26465,1.6548171,210.969116,1286.39722,1.0,4.65552616,50.4806595,2788.12744,1.0,1.42018116
8353.625,1.0,881.683105,2035.13733,1.0,1.0,1.0,4491.00586,1.0,1.0
3751.62085,1.0,615.265442,679.252686,1.0,71.0497284,1.0,1321.58093,1.0,10.3663292
9821.71777,1826.91687,1.0,2689.59961,1.0,28.1331787,1.0,1218.81421,1.0,198.095688
4531.58496,1.0,37.8551521,474.003113,1.0,1.0,17.3093719,1998.8551,1.0,2.45824409
9821.71777,385.423004,30.5052814,2996.14331,1.0,5.18613434,1.0,4782.85791,1.0,78.438858
9821.71777,1640.0,28.1331787,889.649231,1.0,22.2667198,21.6739235,3684.73584,1.0,179.434677
736.525208,1.0,873.788269,1407.46509,79.8626785,44.91008,1.0,3105.89917,1.0,9.05797863
9821.71777,1229.82642,268.959961,2713.89941,1.0,48.6967583,1.0,2329.09668,1.0,109.4114
9821.71777,1197.08545,48.2607155,4141.78516,1.0,46.9758873,1.0,4958.07031,1.0,118.636635
1433.0127,12.1881418,598.885559,1654.81763,34.5989227,66.1168976,1.0,5674.22412,1.0,7.8438859
2890.26465,54.7370377,36.5174141,2072.07886,1.0,21.8697453,15.3992672,1610.7616,1.0,27.138998
7041.35693,1.0,58.2941475,1553.83997,1.0,52.8027229,1.0,2329.09668,1.0,16.253149
2436.23291,28.9026375,41.4178505,2329.09668,1.0,41.0469856,1.0,2525.47925,1.0,5.82941532
2525.47925,65.5248718,74.3179474,2996.14331,1.0,1.0,1.0,2414.41821,1.0,19.4564018
9821.71777,637.804382,1.0,449.1008,1.0,142.018097,156.787903,649.381775,1.0,77.736496
9821.71777,2308.24146,1.0,3105.89917,1.0,57.2548866,32.196785,1998.8551,1.0,245.824463
94.7463455,63.7804375,16.253149,2414.41821,1.0,1.0,1.0,4031.52075,1.0554496,15.9633865
4572.52637,130.974716,42.1696548,1218.81421,1.0,54.2469101,124.093803,3078.0896,1.0,47.8285904
228.757385,71.0497284,50.4806595,2308.24146,1.0,1.0,1.0,6792.52393,1.0,33.9820824
305.052765,9.13981628,410.469849,3785.51563,1.0,1.0,626.433716,5473.7041,1.0,41.792057
9821.71777,964.661743,1.0,2128.75171,1.0,6.43567038,1.0,2392.79907,1.0,114.444214
8131.23047,11.652154,39.5964546,1357.72705,1.0,181.055817,1.0,1526.13831,1.0,21.6739235
4958.07031,1.0,58.2941475,1009.03528,1.0,1.0,1.0,2502.86548,1.0,5.09367561
9821.71777,2287.57397,1.0,3162.27734,46.1383972,9.2223959,1.0,973.377625,1.0,182.691681
3307.73877,1.0,30.5052814,562.341309,1.0,56.2341309,1.0,1240.93811,1.0,15.2613783
9821.71777,1394.8623,3.10590029,1640.0,1.0,40.679451,1.0,1165.21545,1.0,126.346291
3.24876833,1.0,13.455698,9821.71777,1.0,8505.25879,3219.67871,723.394226,1.0,15.3992672
4572.52637,2.50286531,777.36499,889.649231,14.5902414,69.1582108,1.0,3995.41968,1.0,7.10497427
20.3513756,22.4679031,74.989418,557.305969,1.0,1.0,1.0,1826.91687,1.39486206,3.6517415
9821.71777,3398.20752,1.0,1980.95691,1.0,13.455698,152.613831,3162.27734,1.0,395.964539
289.026459,46.9758873,86.5964584,2788.12744,8.896492,1.0,1.0,3785.51563,1.0,15.9633865
9821.71777,1980.95691,1.0,2890.26465,1.0,31.3396206,1.0,2128.75171,1.0,191.095322
2502.86548,54.2469101,345.989136,1345.57019,1.0,20.3513756,1.0,938.980103,1.0,19.1095314
